"","gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","tenure_group","Churn"
"52","Female","No","No","No","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"12-24 Month","Yes"
"53","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"24-48 Month","No"
"54","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"0-12 Month","Yes"
"55","Female","Yes","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"48-60 Month","No"
"56","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"12-24 Month","Yes"
"57","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.65,6311.2,"> 60 Month","No"
"58","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.45,7076.35,"> 60 Month","No"
"59","Female","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",24.95,894.3,"24-48 Month","No"
"60","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"> 60 Month","No"
"61","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"24-48 Month","No"
"62","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"48-60 Month","No"
"63","Male","No","Yes","No","No","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",42.1,2962,"> 60 Month","No"
"64","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,957.1,"12-24 Month","No"
"65","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"0-12 Month","Yes"
"66","Female","No","No","No","Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,244.1,"0-12 Month","No"
"67","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9,3650.35,"24-48 Month","No"
"68","Female","No","No","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.2,2497.2,"24-48 Month","No"
"69","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.15,930.9,"48-60 Month","No"
"70","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.85,887.35,"0-12 Month","No"
"71","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,49.05,"0-12 Month","No"
"72","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",20.4,1090.65,"48-60 Month","No"
"73","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.6,7099,"> 60 Month","No"
"74","Male","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"> 60 Month","No"
"75","Female","No","No","Yes","Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"0-12 Month","No"
"76","Female","Yes","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,6139.5,"48-60 Month","No"
"77","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.65,2688.85,"24-48 Month","No"
"78","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.65,482.25,"0-12 Month","No"
"79","Male","Yes","No","No","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.3,"24-48 Month","No"
"80","Female","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",25.9,1216.6,"24-48 Month","No"
"81","Female","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,79.35,"0-12 Month","Yes"
"82","Female","No","Yes","Yes","No","No","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",50.55,565.35,"0-12 Month","No"
"83","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"0-12 Month","Yes"
"84","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"24-48 Month","No"
"85","Female","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",20.15,973.35,"48-60 Month","No"
"86","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"0-12 Month","No"
"87","Female","No","Yes","No","Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.15,2215.45,"24-48 Month","No"
"88","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.65,1057,"24-48 Month","No"
"89","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.95,927.1,"24-48 Month","No"
"90","Male","No","Yes","No","No","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",33.75,1009.25,"24-48 Month","No"
"91","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"24-48 Month","No"
"92","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,74.7,"0-12 Month","No"
"93","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,5714.25,"> 60 Month","No"
"94","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.05,7107,"> 60 Month","No"
"95","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"> 60 Month","No"
"96","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"0-12 Month","Yes"
"97","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.85,4748.7,"> 60 Month","No"
"98","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",21.05,113.85,"0-12 Month","Yes"
"99","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",21,1107.2,"48-60 Month","No"
"100","Female","Yes","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"24-48 Month","Yes"
"101","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.2,20.2,"0-12 Month","No"
"102","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",19.45,19.45,"0-12 Month","No"
"103","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,3605.6,"24-48 Month","No"
"104","Female","Yes","Yes","No","No","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.55,3027.25,"> 60 Month","No"
"105","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"> 60 Month","Yes"
"106","Male","No","No","No","No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.3,100.2,"0-12 Month","No"
"107","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.15,7303.05,"> 60 Month","No"
"108","Female","No","No","No","No","No","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",30.15,927.65,"24-48 Month","No"
"109","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.35,3921.3,"24-48 Month","No"
"110","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.4,1363.25,"> 60 Month","No"
"111","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"48-60 Month","Yes"
"112","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.95,3042.25,"48-60 Month","No"
"113","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,3954.1,"24-48 Month","No"
"114","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"24-48 Month","Yes"
"115","Female","No","Yes","Yes","No","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.6,3423.5,"> 60 Month","No"
"116","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",89.85,248.4,"0-12 Month","No"
"117","Female","No","No","No","No","No","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",31.05,1126.35,"24-48 Month","No"
"118","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"0-12 Month","Yes"
"119","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.65,835.15,"24-48 Month","No"
"120","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",85.2,2151.6,"24-48 Month","No"
"121","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.8,5515.45,"48-60 Month","No"
"122","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.7,112.75,"0-12 Month","No"
"123","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,229.55,"0-12 Month","Yes"
"124","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",50.7,350.35,"0-12 Month","No"
"125","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.85,62.9,"0-12 Month","No"
"126","Male","No","No","No","Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",88.95,3027.65,"24-48 Month","No"
"127","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.05,2135.5,"24-48 Month","Yes"
"128","Male","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",23.55,1723.95,"> 60 Month","No"
"129","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.75,19.75,"0-12 Month","No"
"130","Male","Yes","No","No","No","No","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",56.45,3985.35,"> 60 Month","No"
"131","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.95,1215.65,"12-24 Month","No"
"132","Female","No","Yes","Yes","No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",58.6,1502.65,"24-48 Month","Yes"
"133","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",50.55,3260.1,"> 60 Month","No"
"134","Male","No","No","No","No","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.45,35.45,"0-12 Month","Yes"
"135","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.35,81.25,"0-12 Month","Yes"
"136","Female","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.7,1188.2,"24-48 Month","No"
"137","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75,1778.5,"12-24 Month","No"
"138","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.2,1277.75,"> 60 Month","No"
"139","Male","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.6,1170.55,"48-60 Month","No"
"140","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,70.45,"0-12 Month","Yes"
"141","Female","Yes","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",88.05,6425.65,"> 60 Month","No"
"142","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",71.15,563.65,"0-12 Month","Yes"
"143","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",101.05,5971.25,"> 60 Month","No"
"144","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",84.3,5289.05,"> 60 Month","No"
"145","Male","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",23.95,1756.2,"> 60 Month","No"
"146","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",99.05,6416.7,"> 60 Month","No"
"147","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.6,61.35,"0-12 Month","No"
"148","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,45.65,"0-12 Month","Yes"
"149","Male","No","No","Yes","Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",64.5,1929.95,"24-48 Month","No"
"150","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",69.5,1071.4,"12-24 Month","No"
"151","Female","No","Yes","Yes","Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",68.55,564.35,"0-12 Month","No"
"152","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",95,655.5,"0-12 Month","Yes"
"153","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",108.15,7930.55,"> 60 Month","No"
"154","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",86.1,5215.25,"> 60 Month","No"
"155","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.7,113.5,"0-12 Month","No"
"156","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.9,1152.8,"12-24 Month","No"
"157","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",84.15,1821.95,"12-24 Month","No"
"158","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.15,419.9,"12-24 Month","No"
"159","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","No","Two year","No","Mailed check",64.25,1024,"12-24 Month","No"
"160","Male","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",25.7,251.6,"0-12 Month","No"
"161","Female","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",56,764.55,"12-24 Month","No"
"162","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,1592.35,"12-24 Month","Yes"
"163","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,135.2,"0-12 Month","No"
"164","Male","No","No","No","Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",73.9,3958.25,"48-60 Month","No"
"165","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.6,233.9,"0-12 Month","No"
"166","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.9,1363.45,"> 60 Month","No"
"167","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.9,273,"0-12 Month","Yes"
"168","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",89.05,6254.45,"> 60 Month","No"
"169","Male","Yes","Yes","No","No","No","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",45.3,2651.2,"48-60 Month","Yes"
"170","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.4,321.4,"12-24 Month","No"
"171","Male","No","Yes","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",84.25,3539.25,"24-48 Month","No"
"172","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,242.8,"0-12 Month","Yes"
"173","Male","No","Yes","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",81.95,1181.75,"12-24 Month","No"
"174","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.85,5000.2,"48-60 Month","Yes"
"175","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.55,654.55,"24-48 Month","No"
